entity_id,ingredient_name,odor_descriptor,molecule_count
330,Cinnamomum,floral odor,3
330,Cinnamomum,odorless,3
330,Cinnamomum,pungent,3
330,Cinnamomum,camphor-like odor,2
330,Cinnamomum,characteristic,2
330,Cinnamomum,fatty,2
330,Cinnamomum,floral,2
330,Cinnamomum,green,2
330,Cinnamomum,odor of hyacinth@pleasant,2
330,Cinnamomum,piney,2
330,Cinnamomum,pleasant,2
330,Cinnamomum,pleasant odor,2
330,Cinnamomum,slight peppermint odor@characteristic odor similar to menthol,2
330,Cinnamomum,spicy,2
330,Cinnamomum,strong lemon odor,2
330,Cinnamomum,& nitrobenzene,1
330,Cinnamomum,...floral-fruity odor,1
330,Cinnamomum,acetone odor,1
330,Cinnamomum,acetone-like odor@sweet,1
330,Cinnamomum,acetophenone,1
330,Cinnamomum,acrid odor,1
330,Cinnamomum,aldehyde odor,1
330,Cinnamomum,almond-like odor.,1
330,Cinnamomum,almost floral odor when highly purified,1
330,Cinnamomum,also similar to cananga@medicinal odor,1
330,Cinnamomum,anise oil odor,1
330,Cinnamomum,apple-like odor@powerful penetrating,1
330,Cinnamomum,bitter almond-like odor@pungent,1
330,Cinnamomum,burnt sweet@hot fat@disagreeable choking odor,1
330,Cinnamomum,but with phenolic notes@phenolic odor,1
330,Cinnamomum,buttery,1
330,Cinnamomum,camphoraceous,1
330,Cinnamomum,camphoraceous odor,1
330,Cinnamomum,carnation odor,1
330,Cinnamomum,characteristic ether-like odor reminiscent of pineapple.@fragrant odor@ether-like,1
330,Cinnamomum,characteristic fruity odor (on dilution)@strong,1
330,Cinnamomum,characteristic hawthorn odor@odor resembles that of coumarin,1
330,Cinnamomum,characteristic odor ... becoming more pronounced and less agreeable on aging or exposure to air@penetrating odor@acquires terebinthinate odor upon oxidation@pleasant lemon-like@characteristic orange odor@characteristic odor of orange peels@citrus odor,1
330,Cinnamomum,characteristic odor of pine@odor of turpentine,1
330,Cinnamomum,characteristic odor or volatile oil of almond@odor resembling oil of bitter almond,1
330,Cinnamomum,characteristic rose-like odor@pure pea has an extremely mild roselike odor. >@99% pure vary in odor because of the impurities present.,1
330,Cinnamomum,characteristic sweetish,1
330,Cinnamomum,characteristic turpentine odor@dry,1
330,Cinnamomum,citrus odor,1
330,Cinnamomum,cooling,1
330,Cinnamomum,decayed cabbage.,1
330,Cinnamomum,delicate flowery odor@mild,1
330,Cinnamomum,disagreeable,1
