search_term,product_code,product_name,allergen_tag
coconut milk,8886303210207,Natural Coconut Cream,en:nuts
coconut cream,8886303210207,Natural Coconut Cream,en:nuts
curry powder,3166296552337,Curry,en:mustard
curry powder,3166296205523,Curry Madras,en:milk
curry powder,3166296205523,Curry Madras,en:mustard
curry powder,4088600132068,Medium curry powder,en:mustard
rice flour,0076808003888,Gluten Free Spaghetti,en:none
lentils,3083680918497,Cassegrain - Lentilles préparées 4/4,en:gluten
lentils,3760020508883,Lentilles façon petit salé,en:celery
lentils,3270160695621,"Crevettes à l'indienne, lentilles corail et légumes",en:crustaceans
lentils,3270160695621,"Crevettes à l'indienne, lentilles corail et légumes",en:fish
lentils,3270160695621,"Crevettes à l'indienne, lentilles corail et légumes",en:milk
lentils,3083681085891,Lentilles Vapeur,en:celery
