search_term,code,product_name,brands,countries,categories,categories_tags,ingredients_text,allergens,allergens_tags,labels,labels_tags,nova_group,energy_kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,source_dataset
coconut milk,8886303210207,Natural Coconut Cream,Kara,"France, Hungary, world","Plant-based milk alternatives, Coconut creams","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairy-substitutes', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking', 'en:coconut-creams']","Natural Coconut Cream (99.9%), Xanthan Gum, Guar Gum, Carrageenan.",nuts,['en:nuts'],"No gluten, Halal, No milk, No preservatives, Vegan, FSC, Green Dot, ISO 9001, No colorings, No flavors, Non GMO project, Organized Kashrut Kosher, Triman","['en:vegetarian', 'en:no-gluten', 'en:halal', 'en:kosher', 'en:no-gmos', 'en:no-milk', 'en:no-preservatives', 'en:vegan', 'en:fsc', 'en:green-dot', 'en:iso-9001', 'en:no-colorings', 'en:no-flavors', 'en:non-gmo-project', 'en:organized-kashrut-kosher', 'fr:triman']",4.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,open_food_facts
coconut milk,3229820797922,Coco sans sucres,Bjorg,"France, Maroc","Laits et crèmes de coco, Crèmes végétales pour cuisiner, Boissons végétales de coco","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking', 'en:coconut-based-drinks']","Eau, noix de coco 4%, eau de coco 4%, amidon de riz*, arômes naturels de coco*, stabilisants: gomme guar*, gomme gellane, sel marin. *Ingrédients biologiques",,[],"Entreprise B certifiée, Agriculture UE/Non UE, FR-BIO-01, Fabriqué en Italie, Sans sucre, Nutriscore B, AB Agriculture Biologique","['en:low-or-no-sugar', 'en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:certified-b-corporation', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:made-in-italy', 'en:no-sugar', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:ab-agriculture-biologique']",4.0,18.0,1.4,0.8,0.5,0.5,0.6,0.11,0.044,open_food_facts
coconut milk,8997212610412,Organic Coconut Milk,Kara,"France, Singapore","Plant-based milk alternatives, Coconut milks and creams, Plant-based creams for cooking","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking']",organic coconut milk,,[],"No gluten, USDA Organic, Vegan, FR-BIO-01, ID-BIO-154, No additives, Organized Kashrut Kosher, Without addition of dairy products, AB Agriculture Biologique, Triman","['en:vegetarian', 'en:no-gluten', 'en:organic', 'en:eu-organic', 'en:kosher', 'en:usda-organic', 'en:vegan', 'en:fr-bio-01', 'en:id-bio-154', 'en:no-additives', 'en:organized-kashrut-kosher', 'en:without-addition-of-dairy-products', 'fr:ab-agriculture-biologique', 'fr:triman']",1.0,,,,,,,,,open_food_facts
coconut milk,3760020500559,Coconut milk,"Jardin bio, LEA Nature","France, Suisse","Boissons végétales, Laits et crèmes de coco, Crèmes végétales pour cuisiner","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking']","Extrait de noix de coco* 68%, eau, épaississant : gomme guar. *Produit issu de l'agriculture biologique. 99,3% du total des ingrédients d'origine agricole sont conformes aux standards du commerce équitable.",,[],"Commerce équitable, 1% pour la planète, Union Végétarienne Européenne Végétalien, FR-BIO-01, Point Vert, LK-BIO-149, Sans bisphénol-A, AB Agriculture Biologique, Boîte garantie sans BPA, Garantie Etic : équitable","['en:vegetarian', 'en:fair-trade', 'en:organic', 'en:eu-organic', 'en:vegan', 'en:1-for-the-planet', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:fr-bio-01', 'en:green-dot', 'en:lk-bio-149', 'en:no-bisphenol-a', 'fr:ab-agriculture-biologique', 'fr:boîte garantie sans bpa', 'fr:garantie etic : équitable']",4.0,170.0,17.0,2.6,2.2,,1.7,0.05,0.02,open_food_facts
coconut milk,4056489346364,Coconut And Rice Milk,Vemondo,"Bulgaria, France, Hungary, Italy, Portugal, Romania, Switzerland, United Kingdom","Rice-based drinks, Mixed plant milks","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:dairy-substitutes', 'en:cereals-and-their-products', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:cereal-based-drinks', 'en:rice-based-drinks', 'en:mixed-plant-milks']","water, 5.3% coconut milk (coconut cream, water), 3.3% rice, sea salt, natural coconut flavor, stabilizers: guar gum, gellan gum, xanthan gum,",,[],"European Vegetarian Union Vegan, Green Dot, IT-BIO-009, No added sugar, Nutriscore Grade B","['en:vegetarian', 'en:organic', 'en:eu-organic', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:green-dot', 'en:it-bio-009', 'en:no-added-sugar', 'en:nutriscore', 'en:nutriscore-grade-b']",4.0,19.0,0.9,2.8,1.9,,0.0,0.295,0.118,open_food_facts
coconut cream,8886303210207,Natural Coconut Cream,Kara,"France, Hungary, world","Plant-based milk alternatives, Coconut creams","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairy-substitutes', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking', 'en:coconut-creams']","Natural Coconut Cream (99.9%), Xanthan Gum, Guar Gum, Carrageenan.",nuts,['en:nuts'],"No gluten, Halal, No milk, No preservatives, Vegan, FSC, Green Dot, ISO 9001, No colorings, No flavors, Non GMO project, Organized Kashrut Kosher, Triman","['en:vegetarian', 'en:no-gluten', 'en:halal', 'en:kosher', 'en:no-gmos', 'en:no-milk', 'en:no-preservatives', 'en:vegan', 'en:fsc', 'en:green-dot', 'en:iso-9001', 'en:no-colorings', 'en:no-flavors', 'en:non-gmo-project', 'en:organized-kashrut-kosher', 'fr:triman']",4.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,open_food_facts
coconut cream,3229820797922,Coco sans sucres,Bjorg,"France, Maroc","Laits et crèmes de coco, Crèmes végétales pour cuisiner, Boissons végétales de coco","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking', 'en:coconut-based-drinks']","Eau, noix de coco 4%, eau de coco 4%, amidon de riz*, arômes naturels de coco*, stabilisants: gomme guar*, gomme gellane, sel marin. *Ingrédients biologiques",,[],"Entreprise B certifiée, Agriculture UE/Non UE, FR-BIO-01, Fabriqué en Italie, Sans sucre, Nutriscore B, AB Agriculture Biologique","['en:low-or-no-sugar', 'en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:certified-b-corporation', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:made-in-italy', 'en:no-sugar', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:ab-agriculture-biologique']",4.0,18.0,1.4,0.8,0.5,0.5,0.6,0.11,0.044,open_food_facts
coconut cream,8997212610412,Organic Coconut Milk,Kara,"France, Singapore","Plant-based milk alternatives, Coconut milks and creams, Plant-based creams for cooking","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking']",organic coconut milk,,[],"No gluten, USDA Organic, Vegan, FR-BIO-01, ID-BIO-154, No additives, Organized Kashrut Kosher, Without addition of dairy products, AB Agriculture Biologique, Triman","['en:vegetarian', 'en:no-gluten', 'en:organic', 'en:eu-organic', 'en:kosher', 'en:usda-organic', 'en:vegan', 'en:fr-bio-01', 'en:id-bio-154', 'en:no-additives', 'en:organized-kashrut-kosher', 'en:without-addition-of-dairy-products', 'fr:ab-agriculture-biologique', 'fr:triman']",1.0,,,,,,,,,open_food_facts
coconut cream,8886303210535,Lait de coco fluide,Kara,France,"Boissons végétales, Aides culinaires, Laits et crèmes de coco, Crèmes végétales pour cuisiner","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:cooking-helpers', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking']","Extrait de noix de coco fraîche (64%), eau, épaississants (Gomme xanthane et Gomme guar)",,[],en:Organized Kashrut Kosher,"['en:kosher', 'en:organized-kashrut-kosher']",4.0,182.0,18.0,2.9,2.2,0.5,2.0,0.03,0.012,open_food_facts
coconut cream,4056489842736,Lait de coco,Vemondo,France,"Boissons végétales, Laits et crèmes de coco, Crèmes végétales pour cuisiner","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:dairy-substitutes', 'en:fruits-based-foods', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:coconuts-and-their-products', 'en:plant-based-creams', 'en:coconut-milks-and-creams', 'en:plant-based-creams-for-cooking']","63% extrait de noix de coco, eau, stabilisant : gomme xanthane.",,[],"Union Végétarienne Européenne Végétalien, Nutriscore C, Triman","['en:vegetarian', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:nutriscore', 'en:nutriscore-grade-c', 'fr:triman']",4.0,169.0,17.0,1.8,1.1,1.1,1.7,0.03,0.012,open_food_facts
