dataset,dataset_label,scope,filename,relative_path,size_mb,column_count,encoding,columns,error
foundation,Foundation Foods,extracted_data_csv,acquisition_samples.csv,data\raw\international\usda\foundation\release_2026_04\extracted\acquisition_samples.csv,0.1481,2,utf-8-sig,"['fdc_id_of_sample_food', 'fdc_id_of_acquisition_food']",
foundation,Foundation Foods,extracted_data_csv,agricultural_samples.csv,data\raw\international\usda\foundation\release_2026_04\extracted\agricultural_samples.csv,0.0363,5,utf-8-sig,"['fdc_id', 'acquisition_date', 'market_class', 'treatment', 'state']",
foundation,Foundation Foods,extracted_data_csv,food.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food.csv,6.8949,5,utf-8-sig,"['fdc_id', 'data_type', 'description', 'food_category_id', 'publication_date']",
foundation,Foundation Foods,extracted_data_csv,food_attribute.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_attribute.csv,0.7187,6,utf-8-sig,"['id', 'fdc_id', 'seq_num', 'food_attribute_type_id', 'name', 'value']",
foundation,Foundation Foods,extracted_data_csv,food_attribute_type.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_attribute_type.csv,0.0003,3,utf-8-sig,"['id', 'name', 'description']",
foundation,Foundation Foods,extracted_data_csv,food_calorie_conversion_factor.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_calorie_conversion_factor.csv,0.0115,4,utf-8-sig,"['food_nutrient_conversion_factor_id', 'protein_value', 'fat_value', 'carbohydrate_value']",
foundation,Foundation Foods,extracted_data_csv,food_category.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_category.csv,0.001,3,utf-8-sig,"['id', 'code', 'description']",
foundation,Foundation Foods,extracted_data_csv,food_component.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_component.csv,0.1512,8,utf-8-sig,"['id', 'fdc_id', 'name', 'pct_weight', 'is_refuse', 'gram_weight', 'data_points', 'min_year_acqured']",
foundation,Foundation Foods,extracted_data_csv,food_nutrient.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_nutrient.csv,9.6218,11,utf-8-sig,"['id', 'fdc_id', 'nutrient_id', 'amount', 'data_points', 'derivation_id', 'min', 'max', 'median', 'footnote', 'min_year_acquired']",
foundation,Foundation Foods,extracted_data_csv,food_nutrient_conversion_factor.csv,data\raw\international\usda\foundation\release_2026_04\extracted\food_nutrient_conversion_factor.csv,0.1879,2,utf-8-sig,"['id', 'fdc_id']",
