dataset,dataset_label,release,storage_area,filename,extension,size_bytes,size_mb,relative_path
foundation,Foundation Foods,release_2026_04,archive,.gitignore,,54,0.0001,data\raw\international\usda\foundation\release_2026_04\archive\.gitignore
foundation,Foundation Foods,release_2026_04,archive,FoodData_Central_foundation_food_csv_2026-04-30.zip,.zip,3825517,3.6483,data\raw\international\usda\foundation\release_2026_04\archive\FoodData_Central_foundation_food_csv_2026-04-30.zip
foundation,Foundation Foods,release_2026_04,archive,FoodData_Central_foundation_food_csv_2026-04-30.zip.dvc,.dvc,139,0.0001,data\raw\international\usda\foundation\release_2026_04\archive\FoodData_Central_foundation_food_csv_2026-04-30.zip.dvc
foundation,Foundation Foods,release_2026_04,checksums,archive_sha256.csv,.csv,249,0.0002,data\raw\international\usda\foundation\release_2026_04\checksums\archive_sha256.csv
foundation,Foundation Foods,release_2026_04,extracted,.gitkeep,,0,0.0,data\raw\international\usda\foundation\release_2026_04\extracted\.gitkeep
foundation,Foundation Foods,release_2026_04,extracted,acquisition_samples.csv,.csv,155247,0.1481,data\raw\international\usda\foundation\release_2026_04\extracted\acquisition_samples.csv
foundation,Foundation Foods,release_2026_04,extracted,agricultural_samples.csv,.csv,38059,0.0363,data\raw\international\usda\foundation\release_2026_04\extracted\agricultural_samples.csv
foundation,Foundation Foods,release_2026_04,extracted,Download API Field Descriptions.xlsx,.xlsx,32849,0.0313,data\raw\international\usda\foundation\release_2026_04\extracted\Download API Field Descriptions.xlsx
foundation,Foundation Foods,release_2026_04,extracted,food.csv,.csv,7229830,6.8949,data\raw\international\usda\foundation\release_2026_04\extracted\food.csv
foundation,Foundation Foods,release_2026_04,extracted,food_attribute.csv,.csv,753585,0.7187,data\raw\international\usda\foundation\release_2026_04\extracted\food_attribute.csv
foundation,Foundation Foods,release_2026_04,extracted,food_attribute_type.csv,.csv,331,0.0003,data\raw\international\usda\foundation\release_2026_04\extracted\food_attribute_type.csv
foundation,Foundation Foods,release_2026_04,extracted,food_calorie_conversion_factor.csv,.csv,12061,0.0115,data\raw\international\usda\foundation\release_2026_04\extracted\food_calorie_conversion_factor.csv
foundation,Foundation Foods,release_2026_04,extracted,food_category.csv,.csv,997,0.001,data\raw\international\usda\foundation\release_2026_04\extracted\food_category.csv
foundation,Foundation Foods,release_2026_04,extracted,food_component.csv,.csv,158565,0.1512,data\raw\international\usda\foundation\release_2026_04\extracted\food_component.csv
foundation,Foundation Foods,release_2026_04,extracted,food_nutrient.csv,.csv,10089141,9.6218,data\raw\international\usda\foundation\release_2026_04\extracted\food_nutrient.csv
foundation,Foundation Foods,release_2026_04,extracted,food_nutrient_conversion_factor.csv,.csv,197078,0.1879,data\raw\international\usda\foundation\release_2026_04\extracted\food_nutrient_conversion_factor.csv
foundation,Foundation Foods,release_2026_04,extracted,food_portion.csv,.csv,714051,0.681,data\raw\international\usda\foundation\release_2026_04\extracted\food_portion.csv
foundation,Foundation Foods,release_2026_04,extracted,food_protein_conversion_factor.csv,.csv,5516,0.0053,data\raw\international\usda\foundation\release_2026_04\extracted\food_protein_conversion_factor.csv
foundation,Foundation Foods,release_2026_04,extracted,food_update_log_entry.csv,.csv,5235383,4.9929,data\raw\international\usda\foundation\release_2026_04\extracted\food_update_log_entry.csv
foundation,Foundation Foods,release_2026_04,extracted,foundation_food.csv,.csv,17257,0.0165,data\raw\international\usda\foundation\release_2026_04\extracted\foundation_food.csv
foundation,Foundation Foods,release_2026_04,extracted,input_food.csv,.csv,327265,0.3121,data\raw\international\usda\foundation\release_2026_04\extracted\input_food.csv
foundation,Foundation Foods,release_2026_04,extracted,lab_method.csv,.csv,13084,0.0125,data\raw\international\usda\foundation\release_2026_04\extracted\lab_method.csv
foundation,Foundation Foods,release_2026_04,extracted,lab_method_code.csv,.csv,4582,0.0044,data\raw\international\usda\foundation\release_2026_04\extracted\lab_method_code.csv
foundation,Foundation Foods,release_2026_04,extracted,lab_method_nutrient.csv,.csv,9424,0.009,data\raw\international\usda\foundation\release_2026_04\extracted\lab_method_nutrient.csv
foundation,Foundation Foods,release_2026_04,extracted,market_acquisition.csv,.csv,914133,0.8718,data\raw\international\usda\foundation\release_2026_04\extracted\market_acquisition.csv
foundation,Foundation Foods,release_2026_04,extracted,measure_unit.csv,.csv,1969,0.0019,data\raw\international\usda\foundation\release_2026_04\extracted\measure_unit.csv
foundation,Foundation Foods,release_2026_04,extracted,nutrient.csv,.csv,21556,0.0206,data\raw\international\usda\foundation\release_2026_04\extracted\nutrient.csv
foundation,Foundation Foods,release_2026_04,extracted,sample_food.csv,.csv,39068,0.0373,data\raw\international\usda\foundation\release_2026_04\extracted\sample_food.csv
foundation,Foundation Foods,release_2026_04,extracted,sub_sample_food.csv,.csv,1478511,1.41,data\raw\international\usda\foundation\release_2026_04\extracted\sub_sample_food.csv
