dataset,source_nutrient_id,nutrient_master_id,name,unit_name,foods_with_nutrient,total_foods,completeness_percent
foundation,1051.0,1051,Water,G,387,395,97.97
foundation,1007.0,1007,Ash,G,368,395,93.16
foundation,1091.0,1091,"Phosphorus, P",MG,367,395,92.91
foundation,1090.0,1090,"Magnesium, Mg",MG,367,395,92.91
foundation,1089.0,1089,"Iron, Fe",MG,367,395,92.91
foundation,1087.0,1087,"Calcium, Ca",MG,367,395,92.91
foundation,1098.0,1098,"Copper, Cu",MG,367,395,92.91
foundation,1101.0,1101,"Manganese, Mn",MG,367,395,92.91
foundation,1095.0,1095,"Zinc, Zn",MG,367,395,92.91
foundation,1092.0,1092,"Potassium, K",MG,367,395,92.91
foundation,1003.0,1003,Protein,G,353,395,89.37
foundation,1093.0,1093,"Sodium, Na",MG,349,395,88.35
foundation,1004.0,1004,Total lipid (fat),G,341,395,86.33
foundation,1002.0,1002,Nitrogen,G,326,395,82.53
foundation,1005.0,1005,"Carbohydrate, by difference",G,322,395,81.52
foundation,2047.0,2047,Energy (Atwater General Factors),KCAL,322,395,81.52
foundation,2048.0,2048,Energy (Atwater Specific Factors),KCAL,288,395,72.91
foundation,1175.0,1175,Vitamin B-6,MG,222,395,56.2
foundation,1079.0,1079,"Fiber, total dietary",G,198,395,50.13
foundation,1167.0,1167,Niacin,MG,192,395,48.61
foundation,1165.0,1165,Thiamin,MG,185,395,46.84
foundation,1166.0,1166,Riboflavin,MG,165,395,41.77
foundation,1014.0,1014,Maltose,G,161,395,40.76
foundation,1013.0,1013,Lactose,G,161,395,40.76
foundation,1011.0,1011,Glucose,G,161,395,40.76
foundation,1012.0,1012,Fructose,G,161,395,40.76
foundation,1010.0,1010,Sucrose,G,161,395,40.76
foundation,1103.0,1103,"Selenium, Se",UG,153,395,38.73
foundation,1063.0,1063,"Sugars, Total",G,149,395,37.72
foundation,1177.0,1177,"Folate, total",UG,137,395,34.68
foundation,1292.0,1292,"Fatty acids, total monounsaturated",G,124,395,31.39
foundation,1258.0,1258,"Fatty acids, total saturated",G,124,395,31.39
foundation,1176.0,1176,Biotin,UG,118,395,29.87
foundation,1162.0,1162,"Vitamin C, total ascorbic acid",MG,118,395,29.87
foundation,1293.0,1293,"Fatty acids, total polyunsaturated",G,109,395,27.59
foundation,1265.0,1265,SFA 16:0,G,106,395,26.84
foundation,1266.0,1266,SFA 18:0,G,106,395,26.84
foundation,1264.0,1264,SFA 14:0,G,102,395,25.82
foundation,1263.0,1263,SFA 12:0,G,97,395,24.56
foundation,1062.0,1062,Energy,kJ,95,395,24.05
foundation,1008.0,1008,Energy,KCAL,95,395,24.05
foundation,1009.0,1009,Starch,G,90,395,22.78
foundation,1253.0,1253,Cholesterol,MG,89,395,22.53
foundation,1257.0,1257,"Fatty acids, total trans",G,86,395,21.77
foundation,1262.0,1262,SFA 10:0,G,84,395,21.27
foundation,1267.0,1267,SFA 20:0,G,83,395,21.01
foundation,1299.0,1299,SFA 15:0,G,81,395,20.51
foundation,1300.0,1300,SFA 17:0,G,81,395,20.51
foundation,1301.0,1301,SFA 24:0,G,81,395,20.51
foundation,1406.0,1406,PUFA 20:3 n-6,G,79,395,20.0
foundation,1316.0,1316,"PUFA 18:2 n-6 c,c",G,78,395,19.75
foundation,1075.0,1075,Galactose,G,78,395,19.75
foundation,1261.0,1261,SFA 8:0,G,77,395,19.49
foundation,1315.0,1315,MUFA 18:1 c,G,77,395,19.49
foundation,2016.0,2016,PUFA 18:2 c,G,77,395,19.49
foundation,1273.0,1273,SFA 22:0,G,76,395,19.24
foundation,1260.0,1260,SFA 6:0,G,76,395,19.24
foundation,1271.0,1271,PUFA 20:4,G,76,395,19.24
foundation,2018.0,2018,PUFA 18:3 c,G,76,395,19.24
foundation,1259.0,1259,SFA 4:0,G,76,395,19.24
foundation,1185.0,1185,Vitamin K (phylloquinone),UG,75,395,18.99
foundation,2025.0,2025,PUFA 22:6 c,G,75,395,18.99
foundation,2023.0,2023,PUFA 20:5c,G,75,395,18.99
foundation,2026.0,2026,PUFA 20:2 c,G,75,395,18.99
foundation,1323.0,1323,MUFA 17:1,G,75,395,18.99
foundation,2024.0,2024,PUFA 22:5 c,G,74,395,18.73
foundation,1311.0,1311,PUFA 18:2 CLAs,G,73,395,18.48
foundation,1178.0,1178,Vitamin B-12,UG,73,395,18.48
foundation,1304.0,1304,TFA 18:1 t,G,72,395,18.23
foundation,1303.0,1303,TFA 16:1 t,G,72,395,18.23
foundation,1321.0,1321,"PUFA 18:3 n-6 c,c,c",G,70,395,17.72
foundation,1276.0,1276,PUFA 18:4,G,70,395,17.72
foundation,2020.0,2020,PUFA 20:3 c,G,70,395,17.72
foundation,1333.0,1333,MUFA 15:1,G,69,395,17.47
foundation,1334.0,1334,PUFA 22:2,G,69,395,17.47
foundation,1405.0,1405,PUFA 20:3 n-3,G,68,395,17.22
foundation,1102.0,1102,"Molybdenum, Mo",UG,68,395,17.22
foundation,1335.0,1335,SFA 11:0,G,68,395,17.22
foundation,1312.0,1312,MUFA 24:1 c,G,68,395,17.22
foundation,1411.0,1411,PUFA 22:4,G,67,395,16.96
foundation,1404.0,1404,"PUFA 18:3 n-3 c,c,c (ALA)",G,66,395,16.71
foundation,1314.0,1314,MUFA 16:1 c,G,66,395,16.71
foundation,1305.0,1305,TFA 22:1 t,G,66,395,16.71
foundation,1329.0,1329,"Fatty acids, total trans-monoenoic",G,65,395,16.46
foundation,2012.0,2012,MUFA 20:1 c,G,65,395,16.46
foundation,1184.0,1184,Vitamin K (Dihydrophylloquinone),UG,65,395,16.46
foundation,1085.0,1085,Total fat (NLEA),G,63,395,15.95
foundation,1109.0,1109,Vitamin E (alpha-tocopherol),MG,63,395,15.95
foundation,1272.0,1272,PUFA 22:6 n-3 (DHA),G,63,395,15.95
foundation,1278.0,1278,PUFA 20:5 n-3 (EPA),G,63,395,15.95
foundation,1280.0,1280,PUFA 22:5 n-3 (DPA),G,62,395,15.7
foundation,1183.0,1183,Vitamin K (Menaquinone-4),UG,60,395,15.19
foundation,1125.0,1125,"Tocopherol, beta",MG,59,395,14.94
foundation,1127.0,1127,"Tocopherol, delta",MG,59,395,14.94
foundation,2022.0,2022,PUFA 20:4c,G,59,395,14.94
foundation,1126.0,1126,"Tocopherol, gamma",MG,59,395,14.94
foundation,1128.0,1128,"Tocotrienol, alpha",MG,58,395,14.68
foundation,1131.0,1131,"Tocotrienol, delta",MG,58,395,14.68
foundation,1129.0,1129,"Tocotrienol, beta",MG,58,395,14.68
foundation,1130.0,1130,"Tocotrienol, gamma",MG,58,395,14.68
foundation,1317.0,1317,MUFA 22:1 c,G,58,395,14.68
foundation,2009.0,2009,MUFA 14:1 c,G,58,395,14.68
foundation,1105.0,1105,Retinol,UG,57,395,14.43
foundation,1414.0,1414,PUFA 20:3 n-9,G,57,395,14.43
foundation,1313.0,1313,"PUFA 20:2 n-6 c,c",G,56,395,14.18
foundation,2010.0,2010,MUFA 17:1 c,G,56,395,14.18
foundation,1215.0,1215,Methionine,G,54,395,13.67
foundation,1217.0,1217,Phenylalanine,G,54,395,13.67
foundation,1212.0,1212,Isoleucine,G,54,395,13.67
foundation,1214.0,1214,Lysine,G,54,395,13.67
foundation,1213.0,1213,Leucine,G,54,395,13.67
foundation,1219.0,1219,Valine,G,54,395,13.67
foundation,1211.0,1211,Threonine,G,54,395,13.67
foundation,1210.0,1210,Tryptophan,G,54,395,13.67
foundation,1221.0,1221,Histidine,G,54,395,13.67
foundation,1306.0,1306,TFA 18:2 t not further defined,G,54,395,13.67
foundation,1114.0,1114,Vitamin D (D2 + D3),UG,53,395,13.42
foundation,1170.0,1170,Pantothenic acid,MG,53,395,13.42
