dataset,table,column,missing_count,missing_percent
foundation,food,fdc_id,0,0.0
foundation,food,data_type,0,0.0
foundation,food,description,0,0.0
foundation,food,food_category_id,0,0.0
foundation,food,publication_date,0,0.0
foundation,food_nutrient,id,0,0.0
foundation,food_nutrient,fdc_id,0,0.0
foundation,food_nutrient,nutrient_id,0,0.0
foundation,food_nutrient,amount,33,0.194
foundation,food_nutrient,data_points,2850,16.7568
foundation,food_nutrient,derivation_id,422,2.4812
foundation,food_nutrient,min,2914,17.1331
foundation,food_nutrient,max,2914,17.1331
foundation,food_nutrient,median,2524,14.8401
fndds,food,fdc_id,0,0.0
fndds,food,data_type,0,0.0
fndds,food,description,0,0.0
fndds,food,food_category_id,0,0.0
fndds,food,publication_date,0,0.0
fndds,food_nutrient,id,0,0.0
fndds,food_nutrient,fdc_id,0,0.0
fndds,food_nutrient,nutrient_id,0,0.0
fndds,food_nutrient,amount,0,0.0
fndds,food_nutrient,data_points,353015,100.0
fndds,food_nutrient,derivation_id,353015,100.0
fndds,food_nutrient,min,353015,100.0
fndds,food_nutrient,max,353015,100.0
fndds,food_nutrient,median,353015,100.0
fndds,input_food,id,0,0.0
fndds,input_food,fdc_id,0,0.0
fndds,input_food,fdc_of_input_food,18584,100.0
fndds,input_food,seq_num,0,0.0
fndds,input_food,amount,0,0.0
fndds,input_food,sr_code,0,0.0
fndds,input_food,sr_description,0,0.0
fndds,input_food,unit,1125,6.0536
fndds,input_food,portion_code,0,0.0
fndds,input_food,portion_description,0,0.0
fndds,input_food,gram_weight,0,0.0
fndds,input_food,retention_code,0,0.0
