foundation_source_nutrient_id,foundation_nutrient_master_id,foundation_name,foundation_unit_name,foundation_foods_with_nutrient,foundation_total_foods,foundation_percent,name_key,unit_key,fndds_source_nutrient_id,fndds_nutrient_master_id,fndds_name,fndds_unit_name,fndds_foods_with_nutrient,fndds_total_foods,fndds_percent,difference_fndds_minus_foundation,minimum_completeness,mean_completeness
1051.0,1051,Water,G,387,395,97.97,water,g,255.0,1051,Water,G,5431,5432,99.98,2.01,97.97,98.975
1091.0,1091,"Phosphorus, P",MG,367,395,92.91,"phosphorus, p",mg,305.0,1091,"Phosphorus, P",MG,5431,5432,99.98,7.07,92.91,96.445
1090.0,1090,"Magnesium, Mg",MG,367,395,92.91,"magnesium, mg",mg,304.0,1090,"Magnesium, Mg",MG,5431,5432,99.98,7.07,92.91,96.445
1089.0,1089,"Iron, Fe",MG,367,395,92.91,"iron, fe",mg,303.0,1089,"Iron, Fe",MG,5431,5432,99.98,7.07,92.91,96.445
1087.0,1087,"Calcium, Ca",MG,367,395,92.91,"calcium, ca",mg,301.0,1087,"Calcium, Ca",MG,5431,5432,99.98,7.07,92.91,96.445
1098.0,1098,"Copper, Cu",MG,367,395,92.91,"copper, cu",mg,312.0,1098,"Copper, Cu",MG,5431,5432,99.98,7.07,92.91,96.445
1095.0,1095,"Zinc, Zn",MG,367,395,92.91,"zinc, zn",mg,309.0,1095,"Zinc, Zn",MG,5431,5432,99.98,7.07,92.91,96.445
1092.0,1092,"Potassium, K",MG,367,395,92.91,"potassium, k",mg,306.0,1092,"Potassium, K",MG,5431,5432,99.98,7.07,92.91,96.445
1003.0,1003,Protein,G,353,395,89.37,protein,g,203.0,1003,Protein,G,5431,5432,99.98,10.61,89.37,94.675
1093.0,1093,"Sodium, Na",MG,349,395,88.35,"sodium, na",mg,307.0,1093,"Sodium, Na",MG,5431,5432,99.98,11.63,88.35,94.165
1004.0,1004,Total lipid (fat),G,341,395,86.33,total lipid (fat),g,204.0,1004,Total lipid (fat),G,5431,5432,99.98,13.65,86.33,93.155
1005.0,1005,"Carbohydrate, by difference",G,322,395,81.52,"carbohydrate, by difference",g,205.0,1005,"Carbohydrate, by difference",G,5431,5432,99.98,18.46,81.52,90.75
1175.0,1175,Vitamin B-6,MG,222,395,56.2,vitamin b-6,mg,415.0,1175,Vitamin B-6,MG,5431,5432,99.98,43.78,56.2,78.09
1079.0,1079,"Fiber, total dietary",G,198,395,50.13,"fiber, total dietary",g,291.0,1079,"Fiber, total dietary",G,5431,5432,99.98,49.85,50.13,75.055
1167.0,1167,Niacin,MG,192,395,48.61,niacin,mg,406.0,1167,Niacin,MG,5431,5432,99.98,51.37,48.61,74.295
1165.0,1165,Thiamin,MG,185,395,46.84,thiamin,mg,404.0,1165,Thiamin,MG,5431,5432,99.98,53.14,46.84,73.41
1166.0,1166,Riboflavin,MG,165,395,41.77,riboflavin,mg,405.0,1166,Riboflavin,MG,5431,5432,99.98,58.21,41.77,70.875
1103.0,1103,"Selenium, Se",UG,153,395,38.73,"selenium, se",ug,317.0,1103,"Selenium, Se",UG,5431,5432,99.98,61.25,38.73,69.355
1177.0,1177,"Folate, total",UG,137,395,34.68,"folate, total",ug,417.0,1177,"Folate, total",UG,5431,5432,99.98,65.3,34.68,67.33
1292.0,1292,"Fatty acids, total monounsaturated",G,124,395,31.39,"fatty acids, total monounsaturated",g,645.0,1292,"Fatty acids, total monounsaturated",G,5431,5432,99.98,68.59,31.39,65.685
1258.0,1258,"Fatty acids, total saturated",G,124,395,31.39,"fatty acids, total saturated",g,606.0,1258,"Fatty acids, total saturated",G,5431,5432,99.98,68.59,31.39,65.685
1162.0,1162,"Vitamin C, total ascorbic acid",MG,118,395,29.87,"vitamin c, total ascorbic acid",mg,401.0,1162,"Vitamin C, total ascorbic acid",MG,5431,5432,99.98,70.11,29.87,64.925
1293.0,1293,"Fatty acids, total polyunsaturated",G,109,395,27.59,"fatty acids, total polyunsaturated",g,646.0,1293,"Fatty acids, total polyunsaturated",G,5431,5432,99.98,72.39,27.59,63.785
1265.0,1265,SFA 16:0,G,106,395,26.84,sfa 16:0,g,613.0,1265,SFA 16:0,G,5431,5432,99.98,73.14,26.84,63.41
1266.0,1266,SFA 18:0,G,106,395,26.84,sfa 18:0,g,614.0,1266,SFA 18:0,G,5431,5432,99.98,73.14,26.84,63.41
1264.0,1264,SFA 14:0,G,102,395,25.82,sfa 14:0,g,612.0,1264,SFA 14:0,G,5431,5432,99.98,74.16,25.82,62.9
1263.0,1263,SFA 12:0,G,97,395,24.56,sfa 12:0,g,611.0,1263,SFA 12:0,G,5431,5432,99.98,75.42,24.56,62.27
1008.0,1008,Energy,KCAL,95,395,24.05,energy,kcal,208.0,1008,Energy,KCAL,5431,5432,99.98,75.93,24.05,62.015
1253.0,1253,Cholesterol,MG,89,395,22.53,cholesterol,mg,601.0,1253,Cholesterol,MG,5431,5432,99.98,77.45,22.53,61.255
1262.0,1262,SFA 10:0,G,84,395,21.27,sfa 10:0,g,610.0,1262,SFA 10:0,G,5431,5432,99.98,78.71,21.27,60.625
1261.0,1261,SFA 8:0,G,77,395,19.49,sfa 8:0,g,609.0,1261,SFA 8:0,G,5431,5432,99.98,80.49,19.49,59.735
1260.0,1260,SFA 6:0,G,76,395,19.24,sfa 6:0,g,608.0,1260,SFA 6:0,G,5431,5432,99.98,80.74,19.24,59.61
1271.0,1271,PUFA 20:4,G,76,395,19.24,pufa 20:4,g,620.0,1271,PUFA 20:4,G,5431,5432,99.98,80.74,19.24,59.61
1259.0,1259,SFA 4:0,G,76,395,19.24,sfa 4:0,g,607.0,1259,SFA 4:0,G,5431,5432,99.98,80.74,19.24,59.61
1185.0,1185,Vitamin K (phylloquinone),UG,75,395,18.99,vitamin k (phylloquinone),ug,430.0,1185,Vitamin K (phylloquinone),UG,5431,5432,99.98,80.99,18.99,59.485
1178.0,1178,Vitamin B-12,UG,73,395,18.48,vitamin b-12,ug,418.0,1178,Vitamin B-12,UG,5431,5432,99.98,81.5,18.48,59.23
1276.0,1276,PUFA 18:4,G,70,395,17.72,pufa 18:4,g,627.0,1276,PUFA 18:4,G,5431,5432,99.98,82.26,17.72,58.85
1109.0,1109,Vitamin E (alpha-tocopherol),MG,63,395,15.95,vitamin e (alpha-tocopherol),mg,323.0,1109,Vitamin E (alpha-tocopherol),MG,5431,5432,99.98,84.03,15.95,57.965
1272.0,1272,PUFA 22:6 n-3 (DHA),G,63,395,15.95,pufa 22:6 n-3 (dha),g,621.0,1272,PUFA 22:6 n-3 (DHA),G,5431,5432,99.98,84.03,15.95,57.965
1278.0,1278,PUFA 20:5 n-3 (EPA),G,63,395,15.95,pufa 20:5 n-3 (epa),g,629.0,1278,PUFA 20:5 n-3 (EPA),G,5431,5432,99.98,84.03,15.95,57.965
1280.0,1280,PUFA 22:5 n-3 (DPA),G,62,395,15.7,pufa 22:5 n-3 (dpa),g,631.0,1280,PUFA 22:5 n-3 (DPA),G,5431,5432,99.98,84.28,15.7,57.84
1105.0,1105,Retinol,UG,57,395,14.43,retinol,ug,319.0,1105,Retinol,UG,5431,5432,99.98,85.55,14.43,57.205
1114.0,1114,Vitamin D (D2 + D3),UG,53,395,13.42,vitamin d (d2 + d3),ug,328.0,1114,Vitamin D (D2 + D3),UG,5431,5432,99.98,86.56,13.42,56.7
1106.0,1106,"Vitamin A, RAE",UG,52,395,13.16,"vitamin a, rae",ug,320.0,1106,"Vitamin A, RAE",UG,5431,5432,99.98,86.82,13.16,56.57
1277.0,1277,MUFA 20:1,G,51,395,12.91,mufa 20:1,g,628.0,1277,MUFA 20:1,G,5431,5432,99.98,87.07,12.91,56.445
1180.0,1180,"Choline, total",MG,39,395,9.87,"choline, total",mg,421.0,1180,"Choline, total",MG,5431,5432,99.98,90.11,9.87,54.925
1108.0,1108,"Carotene, alpha",UG,38,395,9.62,"carotene, alpha",ug,322.0,1108,"Carotene, alpha",UG,5431,5432,99.98,90.36,9.62,54.8
1120.0,1120,"Cryptoxanthin, beta",UG,38,395,9.62,"cryptoxanthin, beta",ug,334.0,1120,"Cryptoxanthin, beta",UG,5431,5432,99.98,90.36,9.62,54.8
1107.0,1107,"Carotene, beta",UG,38,395,9.62,"carotene, beta",ug,321.0,1107,"Carotene, beta",UG,5431,5432,99.98,90.36,9.62,54.8
1122.0,1122,Lycopene,UG,36,395,9.11,lycopene,ug,337.0,1122,Lycopene,UG,5431,5432,99.98,90.87,9.11,54.545
1123.0,1123,Lutein + zeaxanthin,UG,29,395,7.34,lutein + zeaxanthin,ug,338.0,1123,Lutein + zeaxanthin,UG,5431,5432,99.98,92.64,7.34,53.66
1269.0,1269,PUFA 18:2,G,28,395,7.09,pufa 18:2,g,618.0,1269,PUFA 18:2,G,5431,5432,99.98,92.89,7.09,53.535
1268.0,1268,MUFA 18:1,G,22,395,5.57,mufa 18:1,g,617.0,1268,MUFA 18:1,G,5431,5432,99.98,94.41,5.57,52.775
1270.0,1270,PUFA 18:3,G,22,395,5.57,pufa 18:3,g,619.0,1270,PUFA 18:3,G,5431,5432,99.98,94.41,5.57,52.775
1275.0,1275,MUFA 16:1,G,19,395,4.81,mufa 16:1,g,626.0,1275,MUFA 16:1,G,5431,5432,99.98,95.17,4.81,52.395
2000.0,2000,Total Sugars,G,5,395,1.27,total sugars,g,269.0,2000,Total Sugars,G,5431,5432,99.98,98.71,1.27,50.625
1279.0,1279,MUFA 22:1,G,3,395,0.76,mufa 22:1,g,630.0,1279,MUFA 22:1,G,5431,5432,99.98,99.22,0.76,50.37
