dataset,dataset_label,role,expected_filename,status,path,column_count,columns
foundation,Foundation Foods,food,food.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\food.csv,5,"['fdc_id', 'data_type', 'description', 'food_category_id', 'publication_date']"
foundation,Foundation Foods,foundation_food,foundation_food.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\foundation_food.csv,3,"['fdc_id', 'NDB_number', 'footnote']"
foundation,Foundation Foods,nutrient,nutrient.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\nutrient.csv,5,"['id', 'name', 'unit_name', 'nutrient_nbr', 'rank']"
foundation,Foundation Foods,food_nutrient,food_nutrient.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\food_nutrient.csv,11,"['id', 'fdc_id', 'nutrient_id', 'amount', 'data_points', 'derivation_id', 'min', 'max', 'median', 'footnote', 'min_year_acquired']"
foundation,Foundation Foods,food_category,food_category.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\food_category.csv,3,"['id', 'code', 'description']"
foundation,Foundation Foods,food_portion,food_portion.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\food_portion.csv,11,"['id', 'fdc_id', 'seq_num', 'amount', 'measure_unit_id', 'portion_description', 'modifier', 'gram_weight', 'data_points', 'footnote', 'min_year_acquired']"
foundation,Foundation Foods,measure_unit,measure_unit.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\measure_unit.csv,2,"['id', 'name']"
foundation,Foundation Foods,input_food,input_food.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\foundation\release_2026_04\extracted\input_food.csv,12,"['id', 'fdc_id', 'fdc_of_input_food', 'seq_num', 'amount', 'ingredient_code', 'ingredient_description', 'unit', 'portion_code', 'portion_description', 'gram_weight', 'retention_code']"
fndds,FNDDS,food,food.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\food.csv,5,"['fdc_id', 'data_type', 'description', 'food_category_id', 'publication_date']"
fndds,FNDDS,nutrient,nutrient.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\nutrient.csv,5,"['id', 'name', 'unit_name', 'nutrient_nbr', 'rank']"
fndds,FNDDS,food_nutrient,food_nutrient.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\food_nutrient.csv,11,"['id', 'fdc_id', 'nutrient_id', 'amount', 'data_points', 'derivation_id', 'min', 'max', 'median', 'footnote', 'min_year_acquired']"
fndds,FNDDS,food_portion,food_portion.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\food_portion.csv,11,"['id', 'fdc_id', 'seq_num', 'amount', 'measure_unit_id', 'portion_description', 'modifier', 'gram_weight', 'data_points', 'footnote', 'min_year_acquired']"
fndds,FNDDS,measure_unit,measure_unit.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\measure_unit.csv,2,"['id', 'name']"
fndds,FNDDS,survey_fndds_food,survey_fndds_food.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\survey_fndds_food.csv,5,"['fdc_id', 'food_code', 'wweia_category_number', 'start_date', 'end_date']"
fndds,FNDDS,wweia_food_category,wweia_food_category.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\wweia_food_category.csv,2,"['wweia_food_category', 'wweia_food_category_description']"
fndds,FNDDS,input_food,input_food.csv,available,C:\Github\Ceylon-Savour\data\raw\international\usda\fndds\release_2024_10\extracted\input_food.csv,12,"['id', 'fdc_id', 'fdc_of_input_food', 'seq_num', 'amount', 'sr_code', 'sr_description', 'unit', 'portion_code', 'portion_description', 'gram_weight', 'retention_code']"
